name	url	imageSrc
beer	https://www.instacart.com/store/items/item_1472476399	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_07e4b583-6886-41d0-bc05-350d9f775ac2.png
bubs-grapefruit	https://www.instacart.com/store/items/item_1472492964	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d39bc812-4923-4c02-8d30-ed86cafd906a.png
bubs-mandarin	https://www.instacart.com/store/items/item_1472477822	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b17e3443-3468-466e-b659-9f595c614acc.png
coconut	https://www.instacart.com/store/items/item_1472490312	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_32941f6f-64de-4ecf-8e23-ae161a6c009b.png
coke	https://www.instacart.com/store/items/item_1472475943	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2513c019-2d42-4bb3-9179-a6859f4ec3b5.jpg
ginger	https://www.instacart.com/store/items/item_1472494533	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5733cd77-1740-4c10-aab4-ec533c2fa97f.png
near-beer	https://www.instacart.com/store/items/item_1703526445	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ae7e1075-a71b-4983-aacd-a37a7d65b123.png
