name	url	imageSrc
frozen-cauli	https://www.instacart.com/store/items/item_2058583637	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_699f5e38-282c-41fa-bb59-99e5eef18617.jpg
salad-mix	https://www.instacart.com/store/items/item_238196977	https://www.instacart.com/assets/domains/product-image/file/large_cf4ed954-af94-4548-92f9-7ba4c80a22a6.jpg
tahini	https://www.instacart.com/store/items/item_1589932954	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_437716a7-f27b-4872-bca3-499858fc5bff.jpeg
tomato-paste	https://www.instacart.com/store/items/item_1472473968	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b2b2bed0-6aac-464e-8f59-796cc0d5fd2b.jpeg
walnuts	https://www.instacart.com/store/items/item_1472474149	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3b821036-8a16-422a-8794-dc009bf7db95.jpg
