name	url	imageSrc
body-wash	https://www.instacart.com/store/items/item_1472471017	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0178cc37-acea-4273-8d58-161d8bd74180.png
toothpaste-hippie	https://www.instacart.com/store/items/item_1472494238	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3da511e3-aec8-4a3e-a48a-9ef871427924.png
trash-bags	https://www.instacart.com/store/items/item_1472496115	https://www.instacart.com/image-server/394x394/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_480e2c9a-eaec-46ee-aa1d-d4bd0fd8c3ee.jpg
